identifier;title;coverDate;citedCount;subtypeDescription;openaccessFlag;authors;origin;used;number
85150755422;CLEAN - Collaborative low-cost environmental and air-quality network;2023-05-01;6.0;Article;False;Fernando Campo, Davide Franco, Felipe de Campos Santos, Andy Blanco-Rodríguez, Alejandro Rafael Garcia-Ramirez, Gabriel Ratão, Leonardo Hoinaski;science_direct;True;69
85209657547;Supporting knowledge justice through community science air quality monitoring and a reciprocal reporting process;2024-12-01;1.0;Article;True;Valentina Serrano-Salomón, Marisa Westbrook, Noemy Pérez, Jay Pecenka, Aniya Khalili, Sumit Sankhyan, Shelly Miller, Shivakat Mishra, Esther Sullivan;science_direct;True;70
85071615346;A citizen science approach for enhancing public understanding of air pollution;2020-01-01;126.0;Article;False;Sachit Mahajan, Prashant Kumar, Janaina Antonino Pinto, Agnese Riccetti, Katinka Schaaf, Guillem Camprodon, Viktor Smári, Antonella Passani, Giuseppe Forino;science_direct;True;71
85179005476;Schools’ air quality monitoring for health and education: Methods and protocols of the SAMHE initiative and project;2023-12-01;18.0;Article;True;Lia Chatzidiakou, Rhys Archer, Victoria Beale, Sam Bland, Holly Carter, Claudia Castro-Faccetti, Hannah Edwards, Joshua Finneran, Sarkawt Hama, Roderic L. Jones, Prashant Kumar, Paul F. Linden, Nidhi Rawat, Katherine Roberts, Charles Symons, Carolanne Vouriot, Douglas Wang, Lucy Way, Sarah West, Dale Weston, Natalie Williams, Samuel Wood, Henry C. Burridge;science_direct;True;72
85153567489;Citizen-operated mobile low-cost sensors for urban PM2.5 monitoring: field calibration, uncertainty estimation, and application;2023-08-01;26.0;Article;True;Amirhossein Hassani, Núria Castell, Ågot K. Watne, Philipp Schneider;science_direct;True;73
85207286282;Democratizing air: A co-created citizen science approach to indoor air quality monitoring;2024-12-01;3.0;Article;True;Sachit Mahajan, Rosy Mondardini, Dirk Helbing;science_direct;True;74
85104947027;Comparative assessments and insights of data openness of 50 smart cities in air quality aspects;2021-06-01;56.0;Article;False;Hugo Wai Leung Mak, Yun Fat Lam;science_direct;True;75
85196152325;Towards integration of LOTOS-EUROS high resolution simulations and heterogenous low-cost sensor observations;2024-09-15;2.0;Article;True;Ioanna Skoulidou, Arjo Segers, Bas Henzing, Jun Zhang, Ruben Goudriaan, Maria Elissavet Koukouli, Dimitrios Balis;science_direct;True;76
85203819137;Implementation of an IoT architecture for promoting healthy air quality in 84 homes of families with children;2024-12-01;3.0;Article;True;Marta Fonseca Gabriel, Gonçalo Marques, David Filipe, Fátima Felgueiras, João Pedro Cardoso, Joana Azeredo, Giannis Kazdaridis, Polychronis Symeonidis, Stratos Keranidis, Peter Conradie, Isabel Azevedo, Filippos Anagnostopoulos;science_direct;True;77
85099794565;Estimating hourly PM2.5 concentrations at the neighborhood scale using a low-cost air sensor network: A Los Angeles case study;2021-04-01;76.0;Article;False;Yougeng Lu, Genevieve Giuliano, Rima Habre;science_direct;True;78
